sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
9901,2.62355040721131,0,0.0524402527922069,0,0.064156069449257,0,9,0.944198238598382,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2045.16080925693,-1382.61546215051,-662.545347106415
10001,2.70292161988262,0,0.0595070211288971,0,0.0636328332983405,0,9,0.948238953615247,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2053.16885504808,-1376.19489841513,-676.973956632953
10101,2.71001883840722,0,0.0625772603349538,0,0.0638546503419602,0,9,0.952681975730316,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2044.95558230471,-1372.57204351517,-672.383538789538
10201,2.65903468104137,0,0.0581876278269823,0,0.0624599027587796,0,9,0.908110533822888,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2058.88206801987,-1378.14687807787,-680.735189942005
10301,2.67829611296743,0,0.0564658504940829,0,0.0633975990081607,0,9,0.95458640835364,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2077.06660427658,-1390.23637082947,-686.830233447111
10401,2.67002856817713,0,0.0523636779507326,0,0.0634426184170781,0,9,0.992978818713842,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2074.26581278138,-1388.03751808568,-686.228294695692
10501,2.63746101597708,0,0.0588593028889336,0,0.0636913645793199,0,9,0.936886857162234,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2069.59887105088,-1384.32742671364,-685.271444337234
10601,2.69065925842622,0,0.0532478301866105,0,0.0647028540333045,0,9,0.942918889717017,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2053.40000329568,-1372.21445241433,-681.185550881349
10701,2.70231427984006,0,0.0593025167791785,0,0.0636168131105781,0,9,0.925019417998293,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2051.18566533734,-1372.46470502392,-678.72096031342
10801,2.71711582566224,0,0.0617889383513625,0,0.0635550627600161,0,9,0.941446406916379,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2044.46930193378,-1370.68483721,-673.784464723776
10901,2.72244227517501,0,0.0624903366995869,0,0.0642197878614737,0,9,0.958110224900564,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2042.33474389806,-1369.81651866538,-672.518225232676
11001,2.63064902160314,0,0.0628541284048622,0,0.0620465734438272,0,9,0.985133175458969,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2043.07229795767,-1371.3051651392,-671.767132818472
11101,3.05361140959192,0,0.0704645786355259,0,0.0734440134088778,0,9,0.922389389126047,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2067.09580039234,-1368.41965432659,-698.676146065744
11201,2.63502513661951,0,0.0541310664540748,0,0.0644423914781519,0,9,1.01718034573724,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2050.37274223434,-1379.94584846838,-670.426893765956
11301,2.57567323284622,0,0.0472330932473191,0,0.0629617600505278,0,9,0.97207363411817,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2046.78310513495,-1378.18814537806,-668.594959756887
11401,2.53522128940464,0,0.0497616980241829,0,0.062006256129843,0,9,0.967286349371355,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2061.1072187516,-1394.04361251104,-667.06360624056
11501,3.082731832958,0,0.0718857711812636,0,0.0726736873554035,0,9,0.95559489748388,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2054.21829839381,-1368.37013992223,-685.848158471578
11601,2.55305127738362,0,0.0596236809822013,0,0.0611351272031544,0,9,0.95063571865367,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2044.02187702036,-1378.99157479557,-665.030302224781
11701,2.47249920247575,0,0.046594026246488,0,0.0617297894072077,0,9,0.994182854302603,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2061.24944567591,-1392.89883905351,-668.350606622407
11801,2.50286773220433,0,0.0533861959022598,0,0.0602607516473878,0,9,0.993278955140474,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2055.44377236936,-1379.59190790008,-675.85186446928
